1.1.1.1.1	Dasypus_novemcinctus_c-Jun	ENSDNOG00000046358	NA
1.1.1.1.1	Macaca_mulatta_c-Jun	ENSMMUG00000032072	NA
1.1.1.1.1	Gorilla_gorilla_gorilla_c-Jun	ENSGGOG00000003233	NA
1.1.1.1.1	Pan_troglodytes_c-Jun	ENSPTRG00000039670	NA
1.1.1.1.1	Pongo_abelii_c-Jun	ENSPPYG00000001295	NA
1.1.1.1.1	Homo_sapiens_c-Jun	ENSG00000177606	P05412
1.1.1.1.1	Canis_lupus_familiaris_c-Jun	ENSCAFG00000018897	NA
1.1.1.1.1	Ailuropoda_melanoleuca_c-Jun	ENSAMEG00000000275	NA
1.1.1.1.1	Mustela_putorius_furo_c-Jun	ENSMPUG00000020182	NA
1.1.1.1.1	Felis_catus_c-Jun	ENSFCAG00000024972	NA
1.1.1.1.1	Tursiops_truncatus_c-Jun	ENSTTRG00000011529	NA
1.1.1.1.1	Loxodonta_africana_c-Jun	ENSLAFG00000012900	NA
1.1.1.1.1	Equus_caballus_c-Jun	ENSECAG00000024055	NA
1.1.1.1.1	Sus_scrofa_c-Jun	ENSSSCG00000030839	NA
1.1.1.1.1	Bos_taurus_c-Jun	ENSBTAG00000004037	Q08DH1
1.1.1.1.1	Ovis_aries_c-Jun	ENSOARG00000009999	NA
1.1.1.1.1	Oryctolagus_cuniculus_c-Jun	ENSOCUG00000001212	NA
1.1.1.1.1	Dipodomys_ordii_c-Jun	ENSDORG00000005987	NA
1.1.1.1.1	Mus_musculus_c-Jun	ENSMUSG00000052684	P05627
1.1.1.1.1	Rattus_norvegicus_c-Jun	ENSRNOG00000026293	P17325
1.1.1.1.1	Cavia_porcellus_c-Jun	ENSCPOG00000026377	NA
1.1.1.1.1	Monodelphis_domestica_c-Jun	ENSMODG00000003321	NA
1.1.1.1.1	Otolemur_garnettii_c-Jun	ENSOGAG00000005602	NA
1.1.1.1.1	Tupaia_belangeri_c-Jun	ENSTBEG00000015475	NA
1.1.1.1.1	Ictidomys_tridecemlineatus_c-Jun	ENSSTOG00000028549	NA
1.1.1.1.1	Myotis_lucifugus_c-Jun	ENSMLUG00000022840	NA
1.1.1.1.1	Nomascus_leucogenys_c-Jun	ENSNLEG00000014776	NA
1.1.1.1.1	Pteropus_vampyrus_c-Jun	ENSPVAG00000012803	NA
1.1.1.1.2	Ornithorhynchus_anatinus_JunB	ENSOANG00000007596	NA
1.1.1.1.2	Dasypus_novemcinctus_JunB	ENSDNOG00000013767	NA
1.1.1.1.2	Macaca_mulatta_JunB	ENSMMUG00000005688	F6U5C5
1.1.1.1.2	Pan_troglodytes_JunB	ENSPTRG00000029110	H2R6C6
1.1.1.1.2	Homo_sapiens_JunB	ENSG00000171223	P17275
1.1.1.1.2	Canis_lupus_familiaris_JunB	ENSCAFG00000028848	NA
